NA18960	1.9042	1.0799	3.8921	4.0192	1.3446	3.9515	2.0482	0.9040	1.4207	1.9066	2.0724
HG01882	1.8552	1.0214	3.8138	3.3198	1.9173	3.6299	2.1652	1.4580	0.9322	1.9189	1.9123
HG02233	3.7750	1.0367	3.8521	3.1609	1.8759	3.7754	1.9787	0.8871	0.9338	1.9000	3.5279
HG01413	1.9635	1.0613	3.9890	3.3674	1.9716	4.0360	2.1833	0.9660	0.9283	2.0442	1.9381
HG02304	1.9778	1.0600	4.0113	3.2978	1.9689	3.7917	2.1278	0.9525	0.9131	2.0174	1.9815
HG02401	1.8044	0.9783	3.6805	3.2826	1.8355	3.6788	2.1782	0.9408	0.8338	1.7990	1.8935
HG01060	2.0067	1.0632	4.1819	3.2278	2.0936	4.2656	1.9523	1.0147	0.9361	2.1695	1.9221
HG01515	1.9844	1.0243	3.8029	2.7951	1.9366	3.7445	1.8287	0.9870	0.9055	1.9119	1.8899
HG01678	1.9259	1.0287	3.8707	3.0973	1.8713	3.7504	1.9541	0.8774	0.9889	1.9054	1.7874
HG01926	1.8213	1.0014	3.7161	3.2407	1.8952	3.6002	2.2503	0.8776	0.7781	1.8302	1.9893
HG01503	1.7936	1.0040	3.6398	3.0855	1.7932	3.5388	2.2866	0.8955	0.8436	1.7681	1.9576
HG02116	1.8645	0.9959	2.8435	2.2496	1.0966	1.8547	2.2762	0.9052	0.8218	0.9630	2.0205
HG00329	1.9054	1.0645	2.8937	1.0028	1.7560	2.0046	1.8034	0.9741	0.1776	1.0264	1.7841
HG02387	1.8717	1.0362	3.7549	3.2231	1.8884	3.7400	2.1632	0.9631	0.9285	1.8590	1.9067
HG00182	1.6701	1.0938	2.7357	1.2488	1.4865	1.6969	1.9396	0.8422	0.1199	0.9819	1.8407
HG01917	1.9736	1.0671	4.1258	3.4159	2.0297	4.1336	2.1717	0.9870	0.9764	2.0955	1.9057
HG01353	1.9351	1.0339	3.9124	3.1244	1.8744	3.9351	2.0488	0.9235	0.8754	1.9899	1.8962
HG01816	1.9038	1.0384	3.8474	3.2914	1.8893	3.7223	2.2391	0.9297	0.9234	1.8662	1.9545
HG02355	1.8772	1.0479	3.8408	3.3208	1.8805	3.7157	2.2436	0.9337	0.8962	1.8680	1.9085
HG00139	1.6509	1.0575	3.3058	2.4123	1.6330	3.3883	1.5803	0.9334	0.9047	1.7117	1.6467
HG01879	1.9047	1.0259	3.8942	3.1833	1.9197	3.9201	2.1306	0.9392	1.0222	1.9601	1.8786
HG02389	1.8376	1.0040	3.8231	3.3038	1.8641	3.8376	2.2161	0.9694	0.8679	1.8662	1.9561
HG01577	1.7639	1.0840	3.6664	3.3579	1.7753	3.4708	2.4282	0.8481	0.8930	1.7308	2.1068
HG02433	1.9159	0.9708	3.9740	3.0535	1.9652	3.8301	2.1054	0.9431	0.9677	1.9948	1.9731
HG01775	1.8376	1.0427	3.8399	3.4864	1.9266	3.5956	2.2389	0.9280	0.9067	1.8831	1.8623
HG00148	1.9803	1.0553	4.1002	2.8763	1.9609	4.0657	1.7346	1.0385	0.9934	2.0866	1.7890
HG02371	1.8152	1.0229	3.7025	3.1912	1.8184	3.5296	2.0965	0.9046	0.9106	1.8023	1.9053
HG01072	2.0586	0.9870	4.1975	3.0737	2.1081	4.1884	1.9236	0.9827	1.0090	2.1210	1.9301
HG02271	1.9334	1.0841	3.9200	3.3661	1.9364	3.7319	2.1507	0.9639	0.9290	1.9385	1.8903
HG02082	1.8599	1.0157	3.7634	3.2712	1.9247	3.6864	2.1838	0.9009	0.8988	1.8512	1.8630
HG00739	1.9175	1.0564	3.8598	3.0930	1.9040	3.8723	2.1674	0.9289	0.9147	1.8883	1.9820
HG01596	1.8931	1.0060	3.7741	2.9581	1.8705	3.5720	1.9135	0.9083	0.9454	1.8885	1.9392
HG01509	1.9113	0.9899	3.9028	2.8809	1.9569	3.7199	2.0320	0.9652	1.0932	1.9719	1.9453
HG02224	1.8184	0.9730	3.8430	2.9091	1.8363	3.5052	2.0307	0.8966	0.9185	1.8848	1.9038
HG02026	1.8968	1.0464	2.9105	1.0271	1.7395	2.3297	2.0262	0.9602	0.1391	1.0015	1.9122
HG01979	2.0078	1.0090	4.0913	3.0024	2.0368	4.0122	1.9625	1.0536	0.9620	2.0687	1.9684
HG01341	1.8903	1.0457	3.7692	3.0947	1.9136	3.8484	2.1098	0.9485	0.9110	1.9003	1.8597
HG01840	1.9406	1.0202	4.0619	3.4118	2.0220	3.9780	1.9926	0.9605	0.9290	2.0743	1.8323
HG02445	1.8859	0.9777	3.8851	3.0570	1.9515	3.7911	2.0455	0.9343	0.9903	2.0090	2.0365
HG00243	1.9004	1.0259	3.7100	2.6628	1.8752	3.8075	1.6672	0.9540	0.8318	1.9167	1.7404
HG02128	2.0983	1.0070	4.1090	3.0610	2.0723	4.0826	1.9483	1.0439	1.0370	2.0814	1.9526
HG02013	1.8856	0.9630	3.8978	3.3713	1.9352	3.6739	2.1067	0.9467	0.9553	1.9637	1.8405
HG02429	1.9060	0.9753	3.7427	3.2064	1.9022	3.6077	2.2003	0.9373	0.8754	1.8373	1.9980
HG01589	2.0100	0.9489	4.1143	3.0269	2.1068	4.0148	2.0540	1.0082	1.0454	2.0830	1.9996
HG02253	1.8567	0.9935	3.9465	3.6496	1.9459	3.6703	2.2040	0.9339	0.8926	1.9486	1.9049
HG01977	2.0288	1.0021	4.0263	3.0503	2.0303	3.9384	2.0882	1.0230	0.9117	2.0462	1.9950
HG02067	1.9426	1.0383	3.8208	3.2692	1.8910	3.8506	2.0434	0.9282	0.8630	1.9454	1.8135
HG02390	1.8059	0.9578	3.6173	3.1030	1.8149	3.6757	2.0668	0.9085	0.9220	1.7829	1.7820
HG01241	2.0172	1.0221	4.1556	3.0674	2.1029	4.1202	2.0340	0.9968	0.9420	2.0755	1.9632
HG02009	1.9985	0.9650	4.0716	3.0512	2.0389	3.9120	2.0174	1.0434	1.0524	2.0758	2.0020
HG00190	1.8328	1.0030	3.8492	3.0748	1.7958	3.6356	1.9643	1.0075	1.0224	1.8807	1.8889
HG01028	2.8574	1.0183	3.7894	3.3133	1.8461	3.7225	2.2132	0.9380	0.8188	1.8728	1.8864
HG01988	1.9522	0.9714	3.9532	3.1670	1.9959	3.7417	2.0224	0.9458	1.0046	2.0025	2.0791
HG00637	1.8691	1.0437	3.8787	3.0384	1.8577	3.6410	1.9468	0.9817	0.9002	1.8863	1.9035
HG01610	1.9906	0.9705	4.0252	2.9012	1.9555	3.8014	1.9367	1.0345	1.0017	1.9815	1.8868
HG02002	1.8640	1.0158	3.7981	3.3605	1.8913	3.7331	2.2072	0.9413	1.0110	1.9032	1.7852
HG01700	1.9079	1.0791	3.8143	3.3859	1.9091	3.8815	2.2625	0.9094	0.8585	1.9206	1.8869
HG01200	2.0202	0.9883	4.0246	3.1206	2.0861	4.0285	2.0228	1.0080	0.9676	2.0483	2.0455
HG02285	1.7603	1.0576	3.6383	3.7346	1.7952	3.3006	2.4170	0.9027	0.8446	1.7644	1.9322
HG02406	1.8719	0.9563	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9518
HG00736	2.0411	1.0607	3.9754	2.8786	1.9434	4.0513	1.8872	0.9810	1.0381	2.0005	1.8883
HG02388	1.8805	1.0282	3.7767	3.2364	1.8764	3.6881	2.1581	0.9113	0.9255	1.8840	1.9205
HG01182	2.0730	1.0167	4.1817	3.0269	2.0849	4.3336	1.8855	1.0497	1.0360	2.1060	1.9389
HG01491	1.9374	1.0803	3.9434	3.1330	1.9617	3.9115	2.1400	0.9256	0.9560	1.9277	1.9249
HG02262	1.9432	1.0760	4.0060	3.3109	2.0194	4.2064	2.1700	0.9691	0.9297	2.0394	1.9950
HG02023	1.9233	0.9922	2.9290	2.1252	1.1013	1.9217	2.0157	0.8821	0.9440	0.9802	1.9622
HG01305	2.0014	0.9572	3.9739	3.0516	2.0003	3.7980	2.0621	0.9769	1.0497	1.9283	1.9579
HG02397	1.8797	1.0271	3.8710	3.4166	1.9136	3.7762	2.3111	0.9877	0.9529	1.8479	1.9535
HG01938	1.8816	0.9900	3.8413	3.0214	1.9688	3.8092	2.0868	0.9500	0.9033	1.8937	1.9737
HG00427	1.7934	1.0879	3.7102	3.1002	1.9004	3.6888	1.9482	0.9572	0.9156	1.9108	1.8068
HG02104	1.8068	1.0351	3.6281	3.5036	1.8578	3.4860	2.3239	0.8996	0.8643	1.7850	1.9045
HG01088	1.9728	0.9833	4.0462	3.3254	2.0336	3.8969	2.1273	0.9863	0.9652	1.9918	1.9373
HG01121	1.8792	1.0600	3.9096	3.2338	1.9181	3.8896	2.1313	0.9789	0.7997	1.9439	1.8991
HG00881	1.9137	1.0423	3.8367	3.1774	1.9605	3.8106	2.1172	0.9459	0.8846	1.9134	1.8870
HG02014	2.0003	1.0187	4.0331	2.9717	2.0278	4.1139	1.9975	1.0356	0.9970	2.0256	1.9847
HG01350	1.9305	1.0604	3.8406	3.0997	1.9723	3.7908	2.0225	0.8992	1.0039	1.9113	1.8594
HG01524	1.9977	1.0264	3.9837	2.9079	1.9879	4.0446	1.9656	0.9755	0.9189	1.9777	1.8362
HG02449	1.9146	0.9634	3.8120	2.7978	1.8692	3.6216	1.9065	1.4801	0.9399	1.9252	1.8264
HG01308	2.0206	0.9644	4.0177	3.1700	2.1058	4.0551	2.1139	1.0737	1.0115	2.0561	2.0028
HG02314	1.8837	0.9975	3.7816	3.2550	1.8944	3.6407	2.1615	0.9455	0.8133	1.8541	2.0222
HG02131	1.8856	0.9869	2.9513	2.1569	1.1002	1.8648	1.8545	0.9473	0.9583	1.0442	1.7721
HG01359	1.9087	1.0540	3.9233	3.1340	1.9821	3.8162	2.0616	0.9038	0.9383	1.8889	1.8710
HG02384	1.9211	1.0455	3.9506	3.2458	2.0081	3.7219	2.1946	0.9877	1.0276	1.9401	1.9320
HG00674	1.9547	1.0104	3.7574	2.8111	1.8996	3.6315	1.9240	0.9270	0.9369	1.8689	1.8479
HG00338	1.7569	1.0357	2.7435	0.9403	1.6045	1.8541	1.6062	0.9645	0.2451	0.9959	1.6800
HG01079	1.9792	1.0938	3.8495	3.0748	1.9343	3.8775	2.0336	0.8891	0.9296	1.9548	1.9176
HG01912	1.9822	0.9420	3.9798	3.0925	2.0210	3.6727	2.0138	0.9416	1.0455	1.9709	2.0227
HG01608	1.9678	1.0185	3.9209	2.8345	1.9460	3.9418	1.8849	0.9623	0.9867	1.9407	1.8559
HG02382	1.8773	0.9655	3.9127	3.2192	1.8968	3.7668	2.1635	0.9616	0.9611	1.8439	1.9638
HG02317	1.9013	0.9639	4.7301	4.2308	2.7755	5.2308	2.0817	0.9251	0.9171	2.7779	1.7451
HG02134	1.8535	0.9825	3.8275	4.2609	1.2395	3.7194	1.9611	0.9148	1.6717	1.9729	1.7727
HG01852	1.9629	1.0236	4.0484	3.3523	2.0438	4.0320	2.1192	0.9955	1.0049	2.0515	1.9063
HG02360	1.8994	1.0195	3.8611	3.1186	1.8934	3.5942	2.0759	0.9522	0.9835	1.9153	1.8535
HG00844	1.9229	1.0376	3.9704	3.4061	1.9758	3.9555	2.2001	0.9586	0.8134	1.9779	1.9140
HG01571	1.7780	0.9813	3.6290	3.2529	1.7766	3.4555	2.2892	0.8604	0.8884	1.7663	2.0091
HG00251	1.7841	1.0566	3.5108	2.6297	1.6868	3.5124	1.6373	0.9832	0.9927	1.7550	1.5688
HG01953	2.0389	1.0170	4.0731	2.9670	2.0675	4.0865	1.9720	1.0234	0.9621	2.0334	1.9259
HG02402	1.8760	1.0041	3.8254	3.2214	1.8596	3.7328	2.1976	0.9413	1.0127	1.8494	1.8592
HG00742	2.0110	0.9920	4.0367	3.1399	2.0646	4.1152	2.1366	0.9966	1.0411	2.0317	1.9559
HG02079	1.9873	1.0086	4.0511	3.0037	2.0201	3.8935	2.0150	1.0285	1.0140	2.0623	2.0024
HG01500	1.9067	1.0375	3.7369	3.0416	1.8505	4.2008	2.1903	0.9128	0.8706	1.8684	1.9609
HG01708	1.8923	1.0519	3.7641	3.2235	1.9072	3.7970	2.2416	0.9000	0.8707	1.8557	2.0175
HG01550	1.9724	1.0275	3.9076	2.8499	1.9446	3.8614	2.0082	1.0111	0.9937	1.9319	1.8821
HG02238	1.9887	1.0536	3.9291	3.2840	1.9150	3.8906	2.0364	0.9612	0.9283	1.9705	1.8526
HG02051	1.9223	1.0519	3.8519	3.3047	1.9581	3.7468	2.1040	0.9298	0.8670	1.9103	1.9041
HG02236	1.8094	0.9233	3.7480	3.5795	1.8486	3.4604	2.4295	0.9342	0.9108	1.8188	1.9325
HG01110	1.9229	0.9984	3.8238	3.0087	1.9355	3.7662	1.9658	0.9408	0.8167	1.9465	1.8491
HG01866	1.8686	1.0294	3.8491	3.2041	1.9580	3.8935	2.2171	0.9052	0.8128	1.9254	2.0134
HG02392	1.8858	1.0363	3.7999	3.2079	1.9082	3.7391	2.1392	0.9282	0.9803	1.8838	1.9206
HG02291	1.9557	0.9992	3.8501	2.8403	1.9333	3.6365	1.9192	1.0235	0.8774	1.9069	1.8680
HG02035	1.8880	1.0066	3.7604	3.1783	1.9399	3.7969	2.1770	0.9008	0.8962	1.9145	2.0237
HG02410	1.9249	0.9623	4.8671	3.8117	2.8132	5.8432	1.9895	1.0222	1.0198	2.8654	1.8752
HG01861	1.8012	1.0432	2.8340	2.2117	1.0395	1.8012	2.1394	0.8859	0.8647	0.9649	1.9023
HG01789	1.8827	1.0399	3.7354	3.1599	1.8893	3.6459	2.1673	0.8806	0.8407	1.8748	1.9819
HG01986	1.8904	0.9733	4.7985	4.2149	2.6799	5.4765	2.0617	0.8914	0.8637	2.8370	1.8496
HG02017	1.9188	0.9947	4.6363	5.6733	1.4391	5.4294	1.9203	0.8827	2.4076	2.7264	1.9079
HG02385	1.8448	1.0376	3.7790	3.3127	1.9496	3.6310	2.2936	0.9732	0.8337	1.9003	1.9568
HG01311	1.9465	1.0033	4.0570	3.1946	2.0059	4.0372	2.0517	0.9775	0.9086	2.0169	1.9620
